"","status","family","pval","qval","genes","num_cells_expressed"
"Fgf9","OK","negbinomial.size",5.76362197114213e-14,2.24037563716976e-12,"Fgf9",63
"Fgfr1","OK","negbinomial.size",6.33411154561631e-16,2.96988498539597e-14,"Fgfr1",146
"Fgfr1op","OK","negbinomial.size",0.960632969126425,0.999998135217801,"Fgfr1op",117
"Fgfr1op2","OK","negbinomial.size",0.611575636672636,0.852764738340441,"Fgfr1op2",147
"Fgfr2","OK","negbinomial.size",4.20397420592774e-07,6.73642143370071e-06,"Fgfr2",100
"Fgfr3","OK","negbinomial.size",1.28476825355091e-21,8.64885891356898e-20,"Fgfr3",26
"Fgfrl1","OK","negbinomial.size",0.329609402036082,0.61690832564318,"Fgfrl1",53
"Fggy","OK","negbinomial.size",0.00176612749731751,0.0121264024744592,"Fggy",56
"Fh1","OK","negbinomial.size",0.0783982700903673,0.246078052386808,"Fh1",175
"Fhit","OK","negbinomial.size",0.304765702897401,0.590042853456568,"Fhit",27
"Fhl1","OK","negbinomial.size",0.00490591973409145,0.0286694145469457,"Fhl1",97
"Fhl2","OK","negbinomial.size",0.902185828765437,0.987459194325601,"Fhl2",27
"Fhl3","OK","negbinomial.size",0.72904599403279,0.916836078234347,"Fhl3",93
"Fhod1","OK","negbinomial.size",0.120263489925379,0.328834820422241,"Fhod1",41
"Fhod3","OK","negbinomial.size",0.753398433869881,0.929114802907224,"Fhod3",18
"Fibin","OK","negbinomial.size",0.678189504930512,0.893911388513621,"Fibin",10
"Fibp","OK","negbinomial.size",0.656862260193523,0.881287613686749,"Fibp",155
"Fig4","OK","negbinomial.size",0.00626543250828846,0.0352796550116243,"Fig4",44
"Figf","OK","negbinomial.size",0.00655262379805349,0.0364378193447331,"Figf",14
"Fign","OK","negbinomial.size",8.1131905052761e-05,0.000819479845671223,"Fign",75
"Fignl1","OK","negbinomial.size",1.68879251680346e-05,0.000204028015294677,"Fignl1",96
"Fignl2","OK","negbinomial.size",0.107580030970455,0.304949276215944,"Fignl2",91
"Filip1l","OK","negbinomial.size",0.369144675821524,0.660867834579927,"Filip1l",56
"Fip1l1","OK","negbinomial.size",0.878663502356837,0.981097500976881,"Fip1l1",189
"Fis1","OK","negbinomial.size",0.278138490779908,0.557341603312091,"Fis1",216
"Fitm2","OK","negbinomial.size",0.848134507273926,0.972700462896265,"Fitm2",22
"Fiz1","OK","negbinomial.size",0.869091489153025,0.978736352773732,"Fiz1",74
"Fjx1","OK","negbinomial.size",0.593163578869044,0.842133361391145,"Fjx1",15
"Fkbp10","OK","negbinomial.size",0.782103982540286,0.945081527237309,"Fkbp10",122
"Fkbp11","OK","negbinomial.size",0.791268220482866,0.948698313167042,"Fkbp11",56
"Fkbp14","OK","negbinomial.size",0.930222572913019,0.997346917305978,"Fkbp14",75
"Fkbp15","OK","negbinomial.size",0.0843633410752294,0.258787809685222,"Fkbp15",71
"Fkbp1a","OK","negbinomial.size",0.00883515119085961,0.0465719911854149,"Fkbp1a",227
"Fkbp1b","OK","negbinomial.size",0.774397550544201,0.94100106552158,"Fkbp1b",21
"Fkbp2","OK","negbinomial.size",0.261639726674076,0.536274656646133,"Fkbp2",153
"Fkbp3","OK","negbinomial.size",0.240152137223581,0.510984085837264,"Fkbp3",228
"Fkbp4","OK","negbinomial.size",0.00289814515009509,0.0184906753499128,"Fkbp4",213
"Fkbp5","OK","negbinomial.size",1.3740555091594e-06,2.01427845320812e-05,"Fkbp5",171
"Fkbp7","OK","negbinomial.size",0.227210784283593,0.494650397582168,"Fkbp7",114
"Fkbp8","OK","negbinomial.size",0.681277776250284,0.895016351623359,"Fkbp8",178
"Fkbp9","OK","negbinomial.size",7.80706047718729e-14,2.98651043651133e-12,"Fkbp9",176
"Fkbpl","OK","negbinomial.size",0.553976748071754,0.814753369509529,"Fkbpl",32
"Fkrp","OK","negbinomial.size",0.704024601278074,0.904120708282837,"Fkrp",43
"Fktn","OK","negbinomial.size",0.187803995323807,0.439595598999975,"Fktn",97
"Flad1","OK","negbinomial.size",0.516872978288503,0.788295075101438,"Flad1",58
"Flcn","OK","negbinomial.size",0.248350439763397,0.520818447467618,"Flcn",58
"Fli1","OK","negbinomial.size",0.117225343758673,0.323103542299591,"Fli1",45
"Flii","OK","negbinomial.size",0.417838082230563,0.706758687658378,"Flii",114
"Flna","OK","negbinomial.size",0.000247909270471438,0.00219978402737911,"Flna",212
"Flnb","OK","negbinomial.size",0.570324301311635,0.827567876304988,"Flnb",116
"Flnc","OK","negbinomial.size",3.36183167310917e-10,8.40457918277293e-09,"Flnc",101
"Flot1","OK","negbinomial.size",0.890649625961873,0.983411504380734,"Flot1",67
"Flot2","OK","negbinomial.size",0.853192010793467,0.973207471607467,"Flot2",101
"Flrt1","OK","negbinomial.size",0.000538518768404106,0.00435805987862289,"Flrt1",86
"Flrt2","OK","negbinomial.size",0.000397583252000364,0.00335495671330839,"Flrt2",104
"Flrt3","OK","negbinomial.size",1.53766559003743e-42,2.72483387646339e-40,"Flrt3",117
"Flywch1","OK","negbinomial.size",0.214867248009543,0.477614893657074,"Flywch1",81
"Flywch2","OK","negbinomial.size",0.493894823521524,0.770312273289459,"Flywch2",81
"Fmn1","OK","negbinomial.size",0.587744307619863,0.838839145661417,"Fmn1",22
"FMN1","OK","negbinomial.size",0.578520162017103,0.832049561032526,"FMN1",17
"Fmn2","OK","negbinomial.size",0.928391585359652,0.996554991141951,"Fmn2",22
"Fmnl2","OK","negbinomial.size",0.00300797699953536,0.0190970088748162,"Fmnl2",108
"Fmnl3","OK","negbinomial.size",0.0639673591557487,0.213019872535558,"Fmnl3",54
"Fmo5","OK","negbinomial.size",0.0497821157702925,0.178096184267406,"Fmo5",11
"Fmod","OK","negbinomial.size",0.605696426861897,0.849074214016502,"Fmod",10
"Fmr1","OK","negbinomial.size",0.0689647819296002,0.224145173670093,"Fmr1",157
"Fn1","OK","negbinomial.size",1.90456826791359e-12,6.2027155752321e-11,"Fn1",126
"Fn3krp","OK","negbinomial.size",0.937968892689914,0.999504811019723,"Fn3krp",94
"Fnbp1","OK","negbinomial.size",0.000722667404475917,0.00558723425693995,"Fnbp1",152
"Fnbp1l","OK","negbinomial.size",0.0134839971471984,0.0652800986837045,"Fnbp1l",194
"Fnbp4","OK","negbinomial.size",0.210704323587372,0.472151416553786,"Fnbp4",169
"Fndc3a","OK","negbinomial.size",0.0184349485966722,0.0835745412302106,"Fndc3a",188
"Fndc3b","OK","negbinomial.size",0.00109536654260509,0.00804827246243372,"Fndc3b",140
"Fndc3c1","OK","negbinomial.size",2.45631430985703e-42,4.28965035272134e-40,"Fndc3c1",43
"Fndc4","OK","negbinomial.size",0.286168341195803,0.567719544189895,"Fndc4",31
"Fndc5","OK","negbinomial.size",2.17286739787111e-10,5.63076390201009e-09,"Fndc5",79
"Fnip1","OK","negbinomial.size",0.392732918727876,0.685283792091391,"Fnip1",126
"Fnip2","OK","negbinomial.size",0.0524461850737351,0.184585084354361,"Fnip2",71
"Fnta","OK","negbinomial.size",0.553580136659009,0.814585498441941,"Fnta",107
"Fntb","OK","negbinomial.size",0.595146689390694,0.843509480964227,"Fntb",171
"Focad","OK","negbinomial.size",0.364002875249315,0.655444507883181,"Focad",57
"Folr1","OK","negbinomial.size",2.45085231921906e-24,1.93024643441762e-22,"Folr1",75
"Fopnl","OK","negbinomial.size",0.0381436764006823,0.146286219168753,"Fopnl",184
"Fos","OK","negbinomial.size",0.998395728831222,0.999998135217801,"Fos",201
"Fosb","OK","negbinomial.size",0.565347064409015,0.823453659631165,"Fosb",112
"Fosl2","OK","negbinomial.size",0.576489208518535,0.831143211611432,"Fosl2",90
"Foxc1","OK","negbinomial.size",0.0063782723926188,0.0357479917818867,"Foxc1",78
"Foxc2","OK","negbinomial.size",6.21034120703552e-05,0.000647918714673402,"Foxc2",40
"Foxd1","OK","negbinomial.size",0.0138927652759028,0.0671242267741092,"Foxd1",18
"Foxd2","OK","negbinomial.size",0.303151805219794,0.587957388201918,"Foxd2",43
"Foxj2","OK","negbinomial.size",0.622433167062273,0.859635491472824,"Foxj2",70
"Foxj3","OK","negbinomial.size",0.168756540757525,0.409487780130523,"Foxj3",129
"Foxk1","OK","negbinomial.size",0.620579550298251,0.859293806685317,"Foxk1",63
"Foxk2","OK","negbinomial.size",0.453323472625793,0.73964422242895,"Foxk2",98
"Foxm1","OK","negbinomial.size",0.000337714774658508,0.00289641497127048,"Foxm1",71
"Foxn2","OK","negbinomial.size",0.0114912238521191,0.0573609144233783,"Foxn2",85
"Foxn3","OK","negbinomial.size",0.285094093653304,0.566054346436368,"Foxn3",209
"Foxo1","OK","negbinomial.size",0.115673585089353,0.320888802817091,"Foxo1",69
"Foxo3","OK","negbinomial.size",0.0781152957814749,0.245447018035664,"Foxo3",212
"Foxo4","OK","negbinomial.size",0.96783884716711,0.999998135217801,"Foxo4",41
