"","status","family","pval","qval","genes","num_cells_expressed"
"Usp38","OK","negbinomial.size",0.0051346997787504,0.0262926648841251,"Usp38",92
"Ncapd2","OK","negbinomial.size",1.13609285624554e-11,2.5540825495488e-10,"Ncapd2",134
"Hoxa5","OK","negbinomial.size",3.47515298496445e-07,4.4541290087776e-06,"Hoxa5",85
"Iffo1","OK","negbinomial.size",0.00583248956897203,0.0293415869341345,"Iffo1",49
"Wdr36","OK","negbinomial.size",0.00448306798009524,0.023392823071974,"Wdr36",266
"Spats2l","OK","negbinomial.size",3.13242440995087e-11,6.66208038082638e-10,"Spats2l",86
"Tsr1","OK","negbinomial.size",0.0029199456252694,0.0162804395339954,"Tsr1",206
"Fbxo25","OK","negbinomial.size",0.00718689023894647,0.0347416863524695,"Fbxo25",114
"Pcp4l1","OK","negbinomial.size",6.53168590565918e-05,0.000570699909457502,"Pcp4l1",86
"Ttk","OK","negbinomial.size",4.17343347714136e-12,9.80173985357669e-11,"Ttk",84
"Txnip","OK","negbinomial.size",1.45452016161874e-18,5.89852356216577e-17,"Txnip",208
"Egr1","OK","negbinomial.size",4.67829992642111e-05,0.000419053399659254,"Egr1",397
"Dennd2a","OK","negbinomial.size",0.00214216924424273,0.0125252844266988,"Dennd2a",148
"Olfml2b","OK","negbinomial.size",0.00226018543761596,0.0131439894058084,"Olfml2b",99
"Tfdp1","OK","negbinomial.size",0.00279719941037831,0.0157633060606306,"Tfdp1",210
"Sv2a","OK","negbinomial.size",0.00189147758906449,0.0112049391044065,"Sv2a",61
"Jarid2","OK","negbinomial.size",0.00266853379425565,0.0151159519911152,"Jarid2",310
"C1s1","OK","negbinomial.size",5.97056606406375e-08,8.50856262146577e-07,"C1s1",41
"Car14","OK","negbinomial.size",3.06726766929269e-12,7.28519394446692e-11,"Car14",100
"Rgs4","OK","negbinomial.size",4.75977853476348e-05,0.000425746999152035,"Rgs4",15
"Cul7","OK","negbinomial.size",0.00202236055992479,0.011885373430462,"Cul7",170
"Susd4","OK","negbinomial.size",0.00364422572657613,0.019717277933753,"Susd4",35
"Akap12","OK","negbinomial.size",4.55479448549111e-07,5.71024533310277e-06,"Akap12",178
"Ensa","OK","negbinomial.size",0.000333414873690164,0.00246196041392292,"Ensa",261
"Creb3l2","OK","negbinomial.size",0.0111184753306604,0.0492886505695216,"Creb3l2",266
"Lpar1","OK","negbinomial.size",6.84494336179548e-12,1.56675908673257e-10,"Lpar1",182
"Scube3","OK","negbinomial.size",1.18235468402365e-06,1.388441087049e-05,"Scube3",160
"Trps1","OK","negbinomial.size",0.00484999663301337,0.0250381324337145,"Trps1",260
